ts_utc,sport,match_name,match_date,pm_format,ks_format,pm_yes_team,ks_yes_team,pm_bid,pm_ask,pm_bid_sz,pm_ask_sz,ks_bid,ks_ask,ks_bid_sz,ks_ask_sz,net_edge,best_leg,gross_cost,pm_event_slug,pm_market_id,pm_token_id,ks_event_ticker,ks_market_ticker
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: 100 Thieves vs Betclic Apogee Esports (BO3) - NODWIN Clutch Series Playoffs,2026-06-15,BO3,,Betclic Apogee Esports,Apogee Esports,0.18,0.2,20.0,5.0,0.16,0.19,1000.0,442.02,-0.025201,PM_NO_KS_YES,1.01,cs2-100t-bca-2026-06-15,2535176,104467570894593132395011584111913615878950348377073974456376042773823852944567,KXCS2GAME-26JUN150700APOGEE100T,KXCS2GAME-26JUN150700APOGEE100T-APOGEE
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: 100 Thieves vs Betclic Apogee Esports (BO3) - NODWIN Clutch Series Playoffs,2026-06-15,BO3,,100 Thieves,100 Thieves,0.8,0.82,5.0,20.0,0.81,0.85,82.0,231.0,-0.025201,PM_YES_KS_NO,1.01,cs2-100t-bca-2026-06-15,2535176,28434944425960014724096713165993341846483040355635859188293310652565751517920,KXCS2GAME-26JUN150700APOGEE100T,KXCS2GAME-26JUN150700APOGEE100T-100T
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: 9z vs TheMongolz (BO3) - IEM Cologne Major Stage 3,2026-06-15,BO3,,TheMongolz,The Mongolz,0.6,0.61,139990.57,30905.46,0.62,0.63,1311.51,50448.39,-0.013629,PM_YES_KS_NO,0.99,cs2-9z-mglz-2026-06-15,2546581,82558265716471685854287854848227060273393743082056758580272114827314775013807,KXCS2GAME-26JUN150800MGLZ9Z,KXCS2GAME-26JUN150800MGLZ9Z-MGLZ
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: 9z vs TheMongolz (BO3) - IEM Cologne Major Stage 3,2026-06-15,BO3,,9z,9z,0.39,0.4,30905.46,139990.57,0.39,0.4,5740.59,32784.37,-0.033853,PM_YES_KS_NO,1.01,cs2-9z-mglz-2026-06-15,2546581,69953109909904806333579047140882184213663344791015310802553495153163184720490,KXCS2GAME-26JUN150800MGLZ9Z,KXCS2GAME-26JUN150800MGLZ9Z-9Z
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: Bebop vs RUSTEC (BO3) - CCT Europe Series #4 Group Stage,2026-06-15,BO3,,RUSTEC,RUSTEC,0.48,0.49,2091.34,383.34,0.46,0.48,176.77,170.36,-0.02496,PM_NO_KS_YES,1.0,cs2-bbp-rust-2026-06-15,2546436,104945307155815882057158071488473791505646038531321658715299810139374410852857,KXCS2GAME-26JUN150700RUSTBBP,KXCS2GAME-26JUN150700RUSTBBP-RUST
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: Bebop vs RUSTEC (BO3) - CCT Europe Series #4 Group Stage,2026-06-15,BO3,,Bebop,Bebop,0.51,0.52,383.34,2091.34,0.51,0.54,111.03,225.15,-0.034981,PM_YES_KS_NO,1.01,cs2-bbp-rust-2026-06-15,2546436,49890304154957117605722662409207909127347634930166759514497300600036418836446,KXCS2GAME-26JUN150700RUSTBBP,KXCS2GAME-26JUN150700RUSTBBP-BBP
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: BetBoom Team vs FUT Esports (BO3) - IEM Cologne Major Stage 3,2026-06-15,BO3,,FUT Esports,FUT Esports,0.55,0.56,87672.45,26628.24,0.56,0.57,1541.89,14015.67,-0.02464,PM_YES_KS_NO,1.0,cs2-bb3-fut-2026-06-15,2546592,95184095757909673099206080172926338796843754468499607769514119750768702996213,KXCS2GAME-26JUN151030FUTBET,KXCS2GAME-26JUN151030FUTBET-FUT
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: BetBoom Team vs FUT Esports (BO3) - IEM Cologne Major Stage 3,2026-06-15,BO3,,BetBoom Team,BetBoom,0.44,0.45,26628.24,87672.45,0.43,0.44,3162.53,12281.78,-0.02464,PM_NO_KS_YES,1.0,cs2-bb3-fut-2026-06-15,2546592,80853629500268012059927122982466495475165493396816223336837442143724516040782,KXCS2GAME-26JUN151030FUTBET,KXCS2GAME-26JUN151030FUTBET-BET
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: Team Nemesis vs CYBERSHOKE Esports (BO3) - NODWIN Clutch Series Playoffs,2026-06-15,BO3,,Team Nemesis,Team Nemesis,0.61,0.62,217.32,523.9,0.63,0.64,8.0,222.0,-0.013385,PM_YES_KS_NO,0.99,cs2-nem-cs1-2026-06-15,2535181,111733831775404175973666011629993422686254038975443135928060666093904648445690,KXCS2GAME-26JUN151000CSNEM,KXCS2GAME-26JUN151000CSNEM-NEM
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: Team Nemesis vs CYBERSHOKE Esports (BO3) - NODWIN Clutch Series Playoffs,2026-06-15,BO3,,CYBERSHOKE Esports,CYBERSHOKE Esports,0.38,0.39,523.9,217.32,0.36,0.38,133.0,530.68,-0.02356,PM_NO_KS_YES,1.0,cs2-nem-cs1-2026-06-15,2535181,37185201196027054226724071695987226091113074749529345931868333129640756740213,KXCS2GAME-26JUN151000CSNEM,KXCS2GAME-26JUN151000CSNEM-CS
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: Millennium Esports vs Coalesce (BO3) - United21 Group A,2026-06-15,BO3,,Millennium Esports,Millennium Esports,0.67,0.76,47.0,125.67,0.29,0.82,193.0,8.0,-0.166965,PM_NO_KS_YES,1.15,cs2-mil-cls1-2026-06-15,2548652,60628471858514158753304901082819162030570736555799284242273766877211611608813,KXCS2GAME-26JUN150400CLSMIL,KXCS2GAME-26JUN150400CLSMIL-MIL
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: Millennium Esports vs Coalesce (BO3) - United21 Group A,2026-06-15,BO3,,Coalesce,Coalesce,0.24,0.33,125.67,47.0,0.22,0.64,8.0,185.0,-0.128645,PM_YES_KS_NO,1.11,cs2-mil-cls1-2026-06-15,2548652,102310718385053014518599766288647640594854184383640040446858473053795841200580,KXCS2GAME-26JUN150400CLSMIL,KXCS2GAME-26JUN150400CLSMIL-CLS
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: Rooster vs DXA Esports (BO3) - Dfrag Open Series #5 Playoffs,2026-06-15,BO3,,Rooster,Rooster,0.76,0.78,11.58,80.0,0.77,0.81,11.0,1.06,-0.027545,PM_YES_KS_NO,1.01,cs2-rstr-dxa-2026-06-15,2528945,60681902231371845478152295996920917711204195102833364797152278270448795439669,KXCS2GAME-26JUN150430DXARSTR,KXCS2GAME-26JUN150430DXARSTR-RSTR
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: Rooster vs DXA Esports (BO3) - Dfrag Open Series #5 Playoffs,2026-06-15,BO3,,DXA Esports,DXA Esports,0.22,0.24,80.0,11.58,0.2,0.25,100.0,260.0,-0.048273,PM_NO_KS_YES,1.03,cs2-rstr-dxa-2026-06-15,2528945,89742651867387111377720705538938135444067096984768826025706540553267757526184,KXCS2GAME-26JUN150430DXARSTR,KXCS2GAME-26JUN150430DXARSTR-DXA
2026-06-15T06:57:57.001714+00:00,cs2,Counter-Strike: SPARTA vs G2 Ares (BO3) - CCT Europe Series #4 Group Stage,2026-06-15,BO3,,SPARTA,SPARTA,0.57,0.58,600.0,4.26,0.57,0.59,360.0,360.0,-0.034465,PM_YES_KS_NO,1.01,cs2-sparta-g2a-2026-06-15,2546444,32995742231528110131196526539811398066306924706221965369069255620707646848577,KXCS2GAME-26JUN151300G2ASPARTA,KXCS2GAME-26JUN151300G2ASPARTA-SPARTA
