ts_utc,universe,category,match_name,event_date,canonical_event_id,market_type,pm_yes_outcome,ks_yes_outcome,pm_bid,pm_ask,pm_bid_sz,pm_ask_sz,ks_bid,ks_ask,ks_bid_sz,ks_ask_sz,net_edge,best_leg,gross_cost,pm_event_slug,pm_market_id,pm_token_id,ks_event_ticker,ks_market_ticker,match_format,schedule_source
2026-06-15T14:00:33.919838+00:00,mlb,sports,Miami Marlins @ Philadelphia Phillies,2026-06-15,mlb:823452,game_winner,Philadelphia Phillies,Philadelphia,0.65,0.66,2426.07,57710.46,0.65,0.66,608.08,588517.08,-0.032533,PM_NO_KS_YES,1.01,mlb-mia-phi-2026-06-15,2478807,13362119425476242130823857923992399748184853310134113376963466342997877108315,KXMLBGAME-26JUN151840MIAPHI,KXMLBGAME-26JUN151840MIAPHI-PHI,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Miami Marlins @ Philadelphia Phillies,2026-06-15,mlb:823452,game_winner,Miami Marlins,Miami,0.34,0.35,57710.46,2426.07,0.35,0.36,110070.6,591010.68,-0.02275,PM_YES_KS_NO,1.0,mlb-mia-phi-2026-06-15,2478807,50339794863485397108383128130937495759247265416329989507395480661877171447309,KXMLBGAME-26JUN151840MIAPHI,KXMLBGAME-26JUN151840MIAPHI-MIA,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Kansas City Royals @ Washington Nationals,2026-06-15,mlb:822724,game_winner,Washington Nationals,Washington,0.56,0.57,11446.11,119443.31,0.56,0.57,4112.73,546005.59,-0.034549,PM_NO_KS_YES,1.01,mlb-kc-wsh-2026-06-15,2478809,4689232406939077085537862561809929964859013919136978846793955727857110616107,KXMLBGAME-26JUN151845KCWSH,KXMLBGAME-26JUN151845KCWSH-WSH,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Kansas City Royals @ Washington Nationals,2026-06-15,mlb:822724,game_winner,Kansas City Royals,Kansas City,0.43,0.44,119443.31,11446.11,0.44,0.45,1618.95,686366.67,-0.02464,PM_YES_KS_NO,1.0,mlb-kc-wsh-2026-06-15,2478809,80785149743406226213829368658053798605225686822999043290693145195134360443851,KXMLBGAME-26JUN151845KCWSH,KXMLBGAME-26JUN151845KCWSH-KC,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,New York Mets @ Cincinnati Reds,2026-06-15,mlb:824505,game_winner,New York Mets,New York M,0.44,0.45,3844.29,70428.18,0.44,0.45,50174.93,630676.86,-0.034673,PM_YES_KS_NO,1.01,mlb-nym-cin-2026-06-15,2478811,32149075508013559759530301374325154840376606241902462330314232457265357774481,KXMLBGAME-26JUN151910NYMCIN,KXMLBGAME-26JUN151910NYMCIN-NYM,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,New York Mets @ Cincinnati Reds,2026-06-15,mlb:824505,game_winner,Cincinnati Reds,Cincinnati,0.55,0.56,70428.18,3844.29,0.55,0.56,138865.28,248267.78,-0.034673,PM_NO_KS_YES,1.01,mlb-nym-cin-2026-06-15,2478811,44875541251908732236172427915619131432788464332030741441003560380526019815854,KXMLBGAME-26JUN151910NYMCIN,KXMLBGAME-26JUN151910NYMCIN-CIN,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,San Diego Padres @ St. Louis Cardinals,2026-06-15,mlb:823046,game_winner,St. Louis Cardinals,St. Louis,0.58,0.59,52832.4,6062.91,0.58,0.59,1007.21,48745.88,-0.034241,PM_NO_KS_YES,1.01,mlb-sd-stl-2026-06-15,2478813,97643669634459925941051561741999574036929122518497142164560754142959010390590,KXMLBGAME-26JUN151945SDSTL,KXMLBGAME-26JUN151945SDSTL-STL,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,San Diego Padres @ St. Louis Cardinals,2026-06-15,mlb:823046,game_winner,San Diego Padres,San Diego,0.41,0.42,6062.91,52832.4,0.42,0.43,177.39,508941.43,-0.02436,PM_YES_KS_NO,1.0,mlb-sd-stl-2026-06-15,2478813,106185311655535213679325135762774327049398160967305216167852904058226561565820,KXMLBGAME-26JUN151945SDSTL,KXMLBGAME-26JUN151945SDSTL-SD,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Colorado Rockies @ Chicago Cubs,2026-06-15,mlb:824666,game_winner,Colorado Rockies,Colorado,0.34,0.35,2634.92,56762.61,0.34,0.35,10.0,535874.25,-0.032533,PM_YES_KS_NO,1.01,mlb-col-chc-2026-06-15,2478815,22003717321603127371929711851940744692448455414111695829114688490773153131446,KXMLBGAME-26JUN152005COLCHC,KXMLBGAME-26JUN152005COLCHC-COL,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Colorado Rockies @ Chicago Cubs,2026-06-15,mlb:824666,game_winner,Chicago Cubs,Chicago C,0.65,0.66,56762.61,2634.92,0.66,0.67,1842.17,638346.77,-0.02244,PM_YES_KS_NO,1.0,mlb-col-chc-2026-06-15,2478815,54550417474622582376755854187263761317181202496909677970809038653881788303828,KXMLBGAME-26JUN152005COLCHC,KXMLBGAME-26JUN152005COLCHC-CHC,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Minnesota Twins @ Texas Rangers,2026-06-15,mlb:822887,game_winner,Texas Rangers,Texas,0.6,0.61,3000.24,4778.63,0.6,0.61,154.0,388460.73,-0.033853,PM_NO_KS_YES,1.01,mlb-min-tex-2026-06-15,2478817,107329101412828366805806449403742593510540932696270001308851023556191264920592,KXMLBGAME-26JUN152005MINTEX,KXMLBGAME-26JUN152005MINTEX-TEX,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Minnesota Twins @ Texas Rangers,2026-06-15,mlb:822887,game_winner,Minnesota Twins,Minnesota,0.39,0.4,4778.63,3000.24,0.4,0.41,932.56,497962.62,-0.024,PM_YES_KS_NO,1.0,mlb-min-tex-2026-06-15,2478817,32988323400490049780494674497790787699434858532277346210370497367978471423583,KXMLBGAME-26JUN152005MINTEX,KXMLBGAME-26JUN152005MINTEX-MIN,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Detroit Tigers @ Houston Astros,2026-06-15,mlb:824181,game_winner,Houston Astros,Houston,0.53,0.54,25038.0,478.81,0.54,0.55,48677.89,592103.1,-0.02484,PM_YES_KS_NO,1.0,mlb-det-hou-2026-06-15,2478819,62769544343863789938943468586812017460280248627794449745334319355865039655324,KXMLBGAME-26JUN152010DETHOU,KXMLBGAME-26JUN152010DETHOU-HOU,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Detroit Tigers @ Houston Astros,2026-06-15,mlb:824181,game_winner,Detroit Tigers,Detroit,0.46,0.47,478.81,25038.0,0.45,0.46,147497.29,82702.46,-0.02484,PM_NO_KS_YES,1.0,mlb-det-hou-2026-06-15,2478819,12595967996329608281471497480134212953185023385596374591205007245169482895309,KXMLBGAME-26JUN152010DETHOU,KXMLBGAME-26JUN152010DETHOU-DET,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Los Angeles Angels @ Arizona Diamondbacks,2026-06-15,mlb:825071,game_winner,Los Angeles Angels,Los Angeles A,0.45,0.46,13462.73,12550.65,0.45,0.46,59812.42,511384.03,-0.034777,PM_YES_KS_NO,1.01,mlb-laa-ari-2026-06-15,2478821,114092669790284115852395490895333644394853354724578668165490719708281906205077,KXMLBGAME-26JUN152140LAAAZ,KXMLBGAME-26JUN152140LAAAZ-LAA,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Los Angeles Angels @ Arizona Diamondbacks,2026-06-15,mlb:825071,game_winner,Arizona Diamondbacks,Arizona,0.54,0.55,12550.65,13462.73,0.54,0.55,138063.07,326554.02,-0.034777,PM_NO_KS_YES,1.01,mlb-laa-ari-2026-06-15,2478821,107538947322176001054975052108239333670716061193042452809820409048796156196700,KXMLBGAME-26JUN152140LAAAZ,KXMLBGAME-26JUN152140LAAAZ-AZ,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Pittsburgh Pirates @ Athletics,2026-06-15,mlb:824993,game_winner,Pittsburgh Pirates,Pittsburgh,0.47,0.48,15073.84,9326.58,0.46,0.47,144114.53,129882.23,-0.02491,PM_NO_KS_YES,1.0,mlb-pit-oak-2026-06-15,2478823,76377062548668277348876528837717319033571326117583883434707278952277622578681,KXMLBGAME-26JUN152140PITATH,KXMLBGAME-26JUN152140PITATH-PIT,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Pittsburgh Pirates @ Athletics,2026-06-15,mlb:824993,game_winner,Athletics,A's,0.52,0.53,9326.58,15073.84,0.53,0.54,51137.41,529626.75,-0.02491,PM_YES_KS_NO,1.0,mlb-pit-oak-2026-06-15,2478823,54931020295176041724769912122724136846959834734507106326152478105589254118102,KXMLBGAME-26JUN152140PITATH,KXMLBGAME-26JUN152140PITATH-ATH,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Tampa Bay Rays @ Los Angeles Dodgers,2026-06-15,mlb:823938,game_winner,Tampa Bay Rays,Tampa Bay,0.4,0.41,13123.9,121966.43,0.4,0.41,119695.28,603711.58,-0.034057,PM_YES_KS_NO,1.01,mlb-tb-lad-2026-06-15,2478825,114180144346382160681040161185555375325962893369411198677554458553071960300310,KXMLBGAME-26JUN152210TBLAD,KXMLBGAME-26JUN152210TBLAD-TB,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Tampa Bay Rays @ Los Angeles Dodgers,2026-06-15,mlb:823938,game_winner,Los Angeles Dodgers,Los Angeles D,0.59,0.6,121966.43,13123.9,0.59,0.6,173330.98,542525.13,-0.034057,PM_NO_KS_YES,1.01,mlb-tb-lad-2026-06-15,2478825,22932625577264108413714359046506745425467309217262550071921684738515951436616,KXMLBGAME-26JUN152210TBLAD,KXMLBGAME-26JUN152210TBLAD-LAD,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Miami Marlins @ Philadelphia Phillies,2026-06-16,mlb:823451,game_winner,Philadelphia Phillies,Philadelphia,0.59,0.6,529.11,2275.7,0.57,0.58,5150.0,1849.82,-0.014309,PM_NO_KS_YES,0.99,mlb-mia-phi-2026-06-16,2490305,61935409673240523968174996027039564529132669526500549650585105093164874642408,KXMLBGAME-26JUN161840MIAPHI,KXMLBGAME-26JUN161840MIAPHI-PHI,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Miami Marlins @ Philadelphia Phillies,2026-06-16,mlb:823451,game_winner,Miami Marlins,Miami,0.4,0.41,2275.7,529.11,0.41,0.42,35.27,7371.68,-0.02419,PM_YES_KS_NO,1.0,mlb-mia-phi-2026-06-16,2490305,51315217904423049645200746851050778877345251578767941106065258361860892591543,KXMLBGAME-26JUN161840MIAPHI,KXMLBGAME-26JUN161840MIAPHI-MIA,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Kansas City Royals @ Washington Nationals,2026-06-16,mlb:822723,game_winner,Washington Nationals,Washington,0.52,0.54,30.0,197.74,0.55,0.56,4.0,225.0,-0.014777,PM_YES_KS_NO,0.99,mlb-kc-wsh-2026-06-16,2490309,18141977798271706048605044399292739369870989679270841636832886925041880052399,KXMLBGAME-26JUN161845KCWSH,KXMLBGAME-26JUN161845KCWSH-WSH,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Kansas City Royals @ Washington Nationals,2026-06-16,mlb:822723,game_winner,Kansas City Royals,Kansas City,0.46,0.48,197.74,30.0,0.44,0.45,20.0,349.0,-0.014777,PM_NO_KS_YES,0.99,mlb-kc-wsh-2026-06-16,2490309,107063511769208509883001305125102083092460745359623590130498638988283974432601,KXMLBGAME-26JUN161845KCWSH,KXMLBGAME-26JUN161845KCWSH-KC,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Toronto Blue Jays @ Boston Red Sox,2026-06-16,mlb:824750,game_winner,Toronto Blue Jays,Toronto,0.49,0.5,421.86,0.22,0.5,0.51,30.95,3.87,-0.025,PM_YES_KS_NO,1.0,mlb-tor-bos-2026-06-16,2490307,77203000122728123757143834648419041154986316847057683980352120900393447407646,KXMLBGAME-26JUN161845TORBOS,KXMLBGAME-26JUN161845TORBOS-TOR,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Toronto Blue Jays @ Boston Red Sox,2026-06-16,mlb:824750,game_winner,Boston Red Sox,Boston,0.5,0.51,0.22,421.86,0.48,0.49,366.66,4.78,-0.014993,PM_NO_KS_YES,0.99,mlb-tor-bos-2026-06-16,2490307,97999493838894099535119402579211051659644525640297556283063336314241172835640,KXMLBGAME-26JUN161845TORBOS,KXMLBGAME-26JUN161845TORBOS-BOS,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Chicago White Sox @ New York Yankees,2026-06-16,mlb:823535,game_winner,New York Yankees,New York Y,0.57,0.58,96.51,67.0,0.56,0.57,734.52,1779.92,-0.02451,PM_NO_KS_YES,1.0,mlb-cws-nyy-2026-06-16,2490311,58631600741953905322788461655297334992556253011089037134427106660001441131717,KXMLBGAME-26JUN161905CWSNYY,KXMLBGAME-26JUN161905CWSNYY-NYY,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,Chicago White Sox @ New York Yankees,2026-06-16,mlb:823535,game_winner,Chicago White Sox,Chicago WS,0.42,0.43,67.0,96.51,0.43,0.44,19.0,17.0,-0.02451,PM_YES_KS_NO,1.0,mlb-cws-nyy-2026-06-16,2490311,20639620954465409563759455852457200558882743623665644923580609558524644637093,KXMLBGAME-26JUN161905CWSNYY,KXMLBGAME-26JUN161905CWSNYY-CWS,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,New York Mets @ Cincinnati Reds,2026-06-16,mlb:824504,game_winner,New York Mets,New York M,0.53,0.54,42.05,3941.93,0.52,0.53,2.0,3723.66,-0.02491,PM_NO_KS_YES,1.0,mlb-nym-cin-2026-06-16,2490313,79908643129199836345361636758531810614943914589604714907094823909258408818261,KXMLBGAME-26JUN161910NYMCIN,KXMLBGAME-26JUN161910NYMCIN-NYM,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,New York Mets @ Cincinnati Reds,2026-06-16,mlb:824504,game_winner,Cincinnati Reds,Cincinnati,0.46,0.47,3941.93,42.05,0.45,0.46,7067.0,170.0,-0.02484,PM_NO_KS_YES,1.0,mlb-nym-cin-2026-06-16,2490313,42089336126194008363876252357004280001927219040482947058702981538541792622602,KXMLBGAME-26JUN161910NYMCIN,KXMLBGAME-26JUN161910NYMCIN-CIN,,mlb_stats_api
2026-06-15T14:00:33.919838+00:00,mlb,sports,San Francisco Giants @ Atlanta Braves,2026-06-16,mlb:824912,game_winner,San Francisco Giants,San Francisco,0.4,0.42,416.74,26.46,0.41,0.42,2786.56,471.0,-0.034241,PM_YES_KS_NO,1.01,mlb-sf-atl-2026-06-16,2490315,41254393945553265765594848088142243342602944221227008828680304459605210397946,KXMLBGAME-26JUN161915SFATL,KXMLBGAME-26JUN161915SFATL-SF,,mlb_stats_api
