ts_utc,universe,category,match_name,event_date,canonical_event_id,market_type,pm_yes_outcome,ks_yes_outcome,pm_bid,pm_ask,pm_bid_sz,pm_ask_sz,ks_bid,ks_ask,ks_bid_sz,ks_ask_sz,net_edge,best_leg,gross_cost,best_leg_bbo_size,net_profit_at_bbo,pm_event_slug,pm_market_id,pm_token_id,ks_event_ticker,ks_market_ticker,match_format,schedule_source
2026-06-15T15:08:47.875868+00:00,valorant,esports,Paper Rex vs Team Vitality - VALORANT Masters Playoffs,2026-06-15,valorant:115576357311291023,match_winner,Team Vitality,Team Vitality,0.37,0.38,2075.25,4349.6,0.37,0.38,113.09,6078.78,-0.033385,PM_YES_KS_NO,1.01,113.09,-3.77551,val-pr1-vit-2026-06-15,2522409,79587056499487887794914917219693699781257794004111090408566993084729159747677,KXVALORANTGAME-26JUN151300VITPR,KXVALORANTGAME-26JUN151300VITPR-VIT,BO3,riot_valorantesports_official_ssr
2026-06-15T15:08:47.875868+00:00,valorant,esports,Paper Rex vs Team Vitality - VALORANT Masters Playoffs,2026-06-15,valorant:115576357311291023,match_winner,Paper Rex,Paper Rex,0.62,0.63,4349.6,2075.25,0.63,0.64,731.73,11507.88,-0.02331,PM_YES_KS_NO,1.0,731.73,-17.056626,val-pr1-vit-2026-06-15,2522409,47018563047371503645515014320052359783411051192657327874867390480570369197631,KXVALORANTGAME-26JUN151300VITPR,KXVALORANTGAME-26JUN151300VITPR-PR,BO3,riot_valorantesports_official_ssr
2026-06-15T15:08:47.875868+00:00,valorant,esports,Division One vs Team Evictix - Challengers NA Swiss,2026-06-17,valorant:116525810246196830,match_winner,Team Evictix,Team Evictix,0.42,0.47,10.1,13.34,0.45,0.49,100.0,130.0,-0.044798,PM_YES_KS_NO,1.02,13.34,-0.597605,val-d1-evi-2026-06-17,2532913,112064007051959028306960257567554136098085953628318789847135851168292179799242,KXVALORANTGAME-26JUN171600EVID1,KXVALORANTGAME-26JUN171600EVID1-EVI,BO3,riot_valorantesports_official_ssr
2026-06-15T15:08:47.875868+00:00,valorant,esports,Division One vs Team Evictix - Challengers NA Swiss,2026-06-17,valorant:116525810246196830,match_winner,Division One,Division One,0.53,0.58,13.34,10.1,0.51,0.56,40.0,400.0,-0.054721,PM_NO_KS_YES,1.03,13.34,-0.729978,val-d1-evi-2026-06-17,2532913,17205750166038918841868215088328335711160065419608570370170124721378282723791,KXVALORANTGAME-26JUN171600EVID1,KXVALORANTGAME-26JUN171600EVID1-D1,BO3,riot_valorantesports_official_ssr
2026-06-15T15:08:47.875868+00:00,valorant,esports,Pigeons vs Alliance Guardians - Challengers NA Swiss,2026-06-17,valorant:116525810246196834,match_winner,Pigeons,Pigeons,0.52,0.59,9.61,43.55,0.53,0.55,1012.0,154.0,-0.054813,PM_NO_KS_YES,1.03,9.61,-0.526753,val-ag2-pgs-2026-06-17,2542448,108628501395182177577375430846367362213816264386285947635489713882904462115834,KXVALORANTGAME-26JUN171600PGSAG,KXVALORANTGAME-26JUN171600PGSAG-PGS,BO3,riot_valorantesports_official_ssr
2026-06-15T15:08:47.875868+00:00,valorant,esports,Pigeons vs Alliance Guardians - Challengers NA Swiss,2026-06-17,valorant:116525810246196834,match_winner,Alliance Guardians,Alliance Guardians,0.41,0.48,43.55,9.61,0.45,0.49,21.0,50.0,-0.054813,PM_YES_KS_NO,1.03,9.61,-0.526753,val-ag2-pgs-2026-06-17,2542448,67366251315756137137352925841837683726523973873382131846217921973777810083954,KXVALORANTGAME-26JUN171600PGSAG,KXVALORANTGAME-26JUN171600PGSAG-AG,BO3,riot_valorantesports_official_ssr
2026-06-15T15:08:47.875868+00:00,valorant,esports,Evil Geniuses Academy vs FlyQuest - Challengers NA Swiss,2026-06-17,valorant:116525810246196838,match_winner,FlyQuest,FlyQuest,0.51,0.54,23.14,20.0,0.48,0.5,132.0,82.0,-0.014997,PM_NO_KS_YES,0.99,23.14,-0.347031,val-fq-ega-2026-06-17,2532931,85641506375351443374316754903095596393956431542530021476136192729362209161956,KXVALORANTGAME-26JUN171900EGAFQ,KXVALORANTGAME-26JUN171900EGAFQ-FQ,BO3,riot_valorantesports_official_ssr
2026-06-15T15:08:47.875868+00:00,valorant,esports,Evil Geniuses Academy vs FlyQuest - Challengers NA Swiss,2026-06-17,valorant:116525810246196838,match_winner,Evil Geniuses Academy,Evil Geniuses Academy,0.46,0.49,20.0,23.14,0.49,0.52,1212.0,166.0,-0.02499,PM_YES_KS_NO,1.0,23.14,-0.578269,val-fq-ega-2026-06-17,2532931,52066848887040648512507333584866891030951571458000251445153943193660377926390,KXVALORANTGAME-26JUN171900EGAFQ,KXVALORANTGAME-26JUN171900EGAFQ-EGA,BO3,riot_valorantesports_official_ssr
2026-06-15T15:08:47.875868+00:00,valorant,esports,Dynamo vs Rise of Scarlet Empire - Challengers NA Swiss,2026-06-17,valorant:116525810246196842,match_winner,ROSE,ROSE,0.37,0.42,30.16,9.79,0.4,0.43,236.0,149.0,-0.044108,PM_YES_KS_NO,1.02,9.79,-0.431817,val-dnm-rose-2026-06-17,2532944,98232763099118278982850310004680682471810988236079281833541104314989951168922,KXVALORANTGAME-26JUN171900ROSEDNM,KXVALORANTGAME-26JUN171900ROSEDNM-ROSE,BO3,riot_valorantesports_official_ssr
2026-06-15T15:08:47.875868+00:00,valorant,esports,Dynamo vs Rise of Scarlet Empire - Challengers NA Swiss,2026-06-17,valorant:116525810246196842,match_winner,Dynamo Esports,Dynamo Esports,0.58,0.63,9.79,30.16,0.56,0.59,51.0,80.0,-0.034241,PM_NO_KS_YES,1.01,9.79,-0.335219,val-dnm-rose-2026-06-17,2532944,82637516397050459696284711896580181064093118996937221443591278634627961470044,KXVALORANTGAME-26JUN171900ROSEDNM,KXVALORANTGAME-26JUN171900ROSEDNM-DNM,BO3,riot_valorantesports_official_ssr
